id,brand,colorway,estimatedMarketValue,gender,small_image_url,original_image_url,thumbnail_image_url,goat_link,stockx_link,flightclub_link,stadiumgoods_link,name,releaseYear,retailPrice,silhouette,sku,story,UID
3366,ASICS,"White/Shamrock Green",120.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/091/232/362/original/1176952_00.png.png,https://image.goat.com/attachments/product_template_pictures/images/091/232/362/original/1176952_00.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/091/232/362/original/1176952_00.png.png,https://goat.com/sneakers/gt-2160-shamrock-green-1203a275-103,https://stockx.com/asics-gt-2160-white-shamrock-green,https://flightclub.com/gt-2160-shamrock-green-1203a275-103,,"ASICS GT-2160 White Shamrock Green",2023,130.00,"GT 2160",1203A275-103,,8631d2db-080f-40f6-babe-b74bb494b18a
3367,ASICS,Black/Black,129.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/093/161/515/original/1011B696_001.png.png,https://image.goat.com/attachments/product_template_pictures/images/093/161/515/original/1011B696_001.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/093/161/515/original/1011B696_001.png.png,https://goat.com/sneakers/gel-kinsei-max-black-1011b696-001,,https://flightclub.com/gel-kinsei-max-black-1011b696-001,,"Gel Kinsei Max 'Black'",2023,180.00,"Gel Kinsei",1011B696-001,,333945eb-192f-4bc6-8f79-740477692acf
3368,ASICS,"Glow Yellow/Black",125.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/093/161/517/original/1011B696_750.png.png,https://image.goat.com/attachments/product_template_pictures/images/093/161/517/original/1011B696_750.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/093/161/517/original/1011B696_750.png.png,https://goat.com/sneakers/gel-kinsei-max-glow-yellow-black-1011b696-750,,https://flightclub.com/gel-kinsei-max-glow-yellow-black-1011b696-750,,"Gel Kinsei Max 'Glow Yellow Black'",2023,180.00,"Gel Kinsei",1011B696-750,,76fe6388-eaff-4e2c-b953-66e7ab7dd8ea
3369,ASICS,"French Blue/Bright Orange",129.00,men,https://image.goat.com/750/attachments/product_template_pictures/images/093/161/516/original/1011B696_400.png.png,https://image.goat.com/attachments/product_template_pictures/images/093/161/516/original/1011B696_400.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/093/161/516/original/1011B696_400.png.png,https://goat.com/sneakers/gel-kinsei-max-french-blue-bright-orange-1011b696-400,,https://flightclub.com/gel-kinsei-max-french-blue-bright-orange-1011b696-400,,"Gel Kinsei Max 'French Blue Bright Orange'",2023,180.00,"Gel Kinsei",1011B696-400,,b9ba78b0-ff55-4728-b8c4-fb8d5951ef04
3370,ASICS,"White/Classic Red",150.00,youth,https://image.goat.com/750/attachments/product_template_pictures/images/090/654/848/original/1084A009_102.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/654/848/original/1084A009_102.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/654/848/original/1084A009_102.png.png,https://goat.com/sneakers/snapdown-3-gs-white-classic-red-1084a009-102,,https://flightclub.com/snapdown-3-gs-white-classic-red-1084a009-102,,"Snapdown 3 GS 'White Classic Red'",2023,65.00,"Snapdown 3",1084A009-102,,eb4c3fc2-726e-47a8-a538-7ab2f7c47f58
3371,ASICS,"White/Gris Blue",40.00,youth,https://image.goat.com/750/attachments/product_template_pictures/images/090/654/844/original/1044A077_100.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/654/844/original/1044A077_100.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/654/844/original/1044A077_100.png.png,https://goat.com/sneakers/gel-dedicate-8-gs-white-gris-blue-1044a077-100,,https://flightclub.com/gel-dedicate-8-gs-white-gris-blue-1044a077-100,,"Gel Dedicate 8 GS 'White Gris Blue'",2023,50.00,"Gel Dedicate",1044A077-100,,3c019aa5-fcf1-4e1a-bfa8-b4511b6a1519
3372,ASICS,"Restful Teal/White",50.00,youth,https://image.goat.com/750/attachments/product_template_pictures/images/090/654/845/original/1044A077_400.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/654/845/original/1044A077_400.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/654/845/original/1044A077_400.png.png,https://goat.com/sneakers/gel-dedicate-8-gs-restful-teal-white-1044a077-400,,https://flightclub.com/gel-dedicate-8-gs-restful-teal-white-1044a077-400,,"Gel Dedicate 8 GS 'Restful Teal White'",2023,50.00,"Gel Dedicate",1044A077-400,,4af160cb-e6d5-486b-85c2-633ba9aceb8f
3373,ASICS,"Piedmont Grey/White",137.00,youth,https://image.goat.com/750/attachments/product_template_pictures/images/090/654/852/original/1084A011_020.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/654/852/original/1084A011_020.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/654/852/original/1084A011_020.png.png,https://goat.com/sneakers/matflex-7-gs-piedmont-grey-blue-1084a011-020,,https://flightclub.com/matflex-7-gs-piedmont-grey-blue-1084a011-020,,"Matflex 7 GS 'Piedmont Grey Blue'",2023,55.00,Matflex,1084A011-020,,bd8f8741-8c4e-4e54-8803-9ec2325f3d91
3374,ASICS,"Metallic Silver/Metallic Silver",214.00,women,https://image.goat.com/750/attachments/product_template_pictures/images/091/037/229/original/1242411_00.png.png,https://image.goat.com/attachments/product_template_pictures/images/091/037/229/original/1242411_00.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/091/037/229/original/1242411_00.png.png,https://goat.com/sneakers/cecilie-bahnsen-x-gt-2160-pure-silver-1203a321-100,https://stockx.com/asics-gt-2160-cecilie-bahnsen-mary-jane-metallic-silver-womens,https://flightclub.com/cecilie-bahnsen-x-gt-2160-pure-silver-1203a321-100,,"ASICS GT-2160 Cecilie Bahnsen Mary Jane Metallic Silver (Women's)",2023,200.00,"GT 2160",1203A321-100,"The Cecilie Bahnsen x ASICS GT 2160 ‘Pure Silver’ delivers the Danish designer’s couture-inspired take on the lifestyle running shoe. Reimagined as a Mary Jane hybrid, the slip-on features a transparent upper with illustrated floral lines and shiny metallic silver overlays. The tongue is removed, revealing a cut-out panel secured with decorative laces and a Velcro strap with floral embellishments. The sneaker rests on a sculpted foam midsole with ASICS Gel cushioning in the heel.",047dd678-3bd3-4a71-aeba-5a3d6a35ffb8
3375,ASICS,"White/Diva Pink",137.00,youth,https://image.goat.com/750/attachments/product_template_pictures/images/090/654/855/original/1084A011_100.png.png,https://image.goat.com/attachments/product_template_pictures/images/090/654/855/original/1084A011_100.png.png,https://image.goat.com/375/attachments/product_template_pictures/images/090/654/855/original/1084A011_100.png.png,https://goat.com/sneakers/matflex-7-gs-white-diva-pink-1084a011-100,,https://flightclub.com/matflex-7-gs-white-diva-pink-1084a011-100,,"Matflex 7 GS 'White Diva Pink'",2023,55.00,Matflex,1084A011-100,,faea4817-2a0a-4b49-9f64-7aa82314e146
